,DATE,STATE,TOTAL_DEATHS,NEW_DEATHS,RELATIVE_DEATHS
354,1582758000000,Florida,0,0,0.0
355,1582844400000,Florida,0,0,0.0
356,1582930800000,Florida,0,0,0.0
357,1583017200000,Florida,0,0,0.0
358,1583103600000,Florida,0,0,0.0
359,1583190000000,Florida,0,0,0.0
360,1583276400000,Florida,0,0,0.0
361,1583362800000,Florida,0,0,0.0
362,1583449200000,Florida,0,0,0.0
363,1583535600000,Florida,0,0,0.0
364,1583622000000,Florida,0,0,0.0
365,1583708400000,Florida,2,2,9.093802573546128e-08
366,1583794800000,Florida,2,0,0.0
367,1583881200000,Florida,2,0,0.0
368,1583967600000,Florida,2,0,0.0
369,1584054000000,Florida,2,0,0.0
370,1584140400000,Florida,3,1,4.546901286773064e-08
371,1584226800000,Florida,4,1,4.546901286773064e-08
372,1584313200000,Florida,5,1,4.546901286773064e-08
373,1584399600000,Florida,7,2,9.093802573546128e-08
374,1584486000000,Florida,8,1,4.546901286773064e-08
375,1584572400000,Florida,9,1,4.546901286773064e-08
376,1584658800000,Florida,11,2,9.093802573546128e-08
377,1584745200000,Florida,12,1,4.546901286773064e-08
378,1584831600000,Florida,13,1,4.546901286773064e-08
379,1584918000000,Florida,17,4,1.8187605147092256e-07
380,1585004400000,Florida,20,3,1.3640703860319193e-07
381,1585090800000,Florida,23,3,1.3640703860319193e-07
382,1585177200000,Florida,29,6,2.7281407720638385e-07
383,1585263600000,Florida,46,17,7.729732187514209e-07
384,1585350000000,Florida,56,10,4.5469012867730644e-07
385,1585436400000,Florida,60,4,1.8187605147092256e-07
386,1585519200000,Florida,71,11,5.00159141545037e-07
387,1585605600000,Florida,85,14,6.36566180148229e-07
388,1585692000000,Florida,101,16,7.275042058836902e-07
389,1585778400000,Florida,144,43,1.9551675533124174e-06
390,1585864800000,Florida,170,26,1.1821943345609968e-06
391,1585951200000,Florida,195,25,1.136725321693266e-06
392,1586037600000,Florida,221,26,1.1821943345609968e-06
393,1586124000000,Florida,254,33,1.5004774246351112e-06
394,1586210400000,Florida,296,42,1.909698540444687e-06
395,1586296800000,Florida,323,27,1.2276633474287272e-06
396,1586383200000,Florida,371,48,2.182512617651071e-06
397,1586469600000,Florida,419,48,2.182512617651071e-06
398,1586556000000,Florida,446,27,1.2276633474287272e-06
399,1586642400000,Florida,461,15,6.820351930159597e-07
400,1586728800000,Florida,499,38,1.7278224889737644e-06
401,1586815200000,Florida,571,72,3.273768926476606e-06
402,1586901600000,Florida,614,43,1.9551675533124174e-06
403,1586988000000,Florida,668,54,2.4553266948574545e-06
404,1587074400000,Florida,726,58,2.6372027463283772e-06
405,1587160800000,Florida,748,22,1.000318283090074e-06
406,1587247200000,Florida,774,26,1.1821943345609968e-06
407,1587333600000,Florida,823,49,2.2279816305188015e-06
408,1587420000000,Florida,867,44,2.000636566180148e-06
409,1587506400000,Florida,927,60,2.7281407720638386e-06
410,1587592800000,Florida,987,60,2.7281407720638386e-06
411,1587679200000,Florida,1046,59,2.682671759196108e-06
412,1587765600000,Florida,1055,9,4.0922111580957575e-07
413,1587852000000,Florida,1074,19,8.639112444868822e-07
414,1587938400000,Florida,1088,14,6.36566180148229e-07
415,1588024800000,Florida,1171,83,3.773928068021643e-06
416,1588111200000,Florida,1218,47,2.13704360478334e-06
